ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5,Atributo 1,Raiting_Promedio 1,Atributo 2,Raiting_Promedio 2,Atributo 3,Raiting_Promedio 3
MLM1971478703,0,0.0,0,0,0,0,0,,,,,,
MLM1971535297,0,0.0,0,0,0,0,0,,,,,,
MLM1972872661,0,0.0,0,0,0,0,0,,,,,,
MLM1974176967,0,0.0,0,0,0,0,0,,,,,,
MLM1974182849,0,0.0,0,0,0,0,0,,,,,,
MLM1974670437,0,0.0,0,0,0,0,0,,,,,,
MLM1978975125,0,0.0,0,0,0,0,0,,,,,,
MLM1980341585,0,0.0,0,0,0,0,0,,,,,,
MLM1981418337,0,0.0,0,0,0,0,0,,,,,,
MLM1981443799,0,0.0,0,0,0,0,0,,,,,,
MLM1981469131,0,0.0,0,0,0,0,0,,,,,,
MLM1981481917,0,0.0,0,0,0,0,0,,,,,,
MLM1983470045,0,0.0,0,0,0,0,0,,,,,,
MLM1984310723,0,0.0,0,0,0,0,0,,,,,,
MLM1984617255,0,0.0,0,0,0,0,0,,,,,,
MLM1984669523,0,0.0,0,0,0,0,0,,,,,,
MLM1984705827,0,0.0,0,0,0,0,0,,,,,,
MLM1986885437,0,0.0,0,0,0,0,0,,,,,,
MLM1992196187,0,0.0,0,0,0,0,0,,,,,,
MLM1994956997,0,0.0,0,0,0,0,0,,,,,,
MLM1997997035,0,0.0,0,0,0,0,0,,,,,,
MLM1998115905,0,0.0,0,0,0,0,0,,,,,,
MLM1998899117,0,0.0,0,0,0,0,0,,,,,,
MLM2003646847,0,0.0,0,0,0,0,0,,,,,,
MLM2006755079,0,0.0,0,0,0,0,0,,,,,,
MLM2148827988,0,0.0,0,0,0,0,0,,,,,,
MLM2217635530,0,0.0,0,0,0,0,0,,,,,,
MLM2258677506,0,0.0,0,0,0,0,0,,,,,,
MLM2288462636,0,0.0,0,0,0,0,0,,,,,,
MLM2310099364,0,0.0,0,0,0,0,0,,,,,,
MLM2311587066,0,0.0,0,0,0,0,0,,,,,,
MLM2320207252,1,5.0,0,0,0,0,1,,,,,,
MLM2344683416,0,0.0,0,0,0,0,0,,,,,,
MLM2351725728,0,0.0,0,0,0,0,0,,,,,,
MLM2361621370,0,0.0,0,0,0,0,0,,,,,,
MLM2389958422,0,0.0,0,0,0,0,0,,,,,,
MLM2410849686,0,0.0,0,0,0,0,0,,,,,,
MLM2416268062,0,0.0,0,0,0,0,0,,,,,,
MLM2434020032,0,0.0,0,0,0,0,0,,,,,,
MLM2435700286,0,0.0,0,0,0,0,0,,,,,,
MLM2439940200,0,0.0,0,0,0,0,0,,,,,,
MLM2466896312,0,0.0,0,0,0,0,0,,,,,,
MLM2466928730,0,0.0,0,0,0,0,0,,,,,,
MLM2466952010,0,0.0,0,0,0,0,0,,,,,,
MLM2466972864,0,0.0,0,0,0,0,0,,,,,,
MLM2468454682,0,0.0,0,0,0,0,0,,,,,,
MLM2470502710,0,0.0,0,0,0,0,0,,,,,,
MLM2515108092,0,0.0,0,0,0,0,0,,,,,,
MLM2522729754,0,0.0,0,0,0,0,0,,,,,,
MLM2529767502,0,0.0,0,0,0,0,0,,,,,,
MLM2530572804,0,0.0,0,0,0,0,0,,,,,,
MLM2531040278,0,0.0,0,0,0,0,0,,,,,,
MLM2535506550,0,0.0,0,0,0,0,0,,,,,,
MLM2544263584,0,0.0,0,0,0,0,0,,,,,,
MLM2546003916,0,0.0,0,0,0,0,0,,,,,,
MLM2560579292,0,0.0,0,0,0,0,0,,,,,,
MLM2572999054,0,0.0,0,0,0,0,0,,,,,,
MLM2573596390,0,0.0,0,0,0,0,0,,,,,,
MLM2581120756,0,0.0,0,0,0,0,0,,,,,,
MLM2594431120,0,0.0,0,0,0,0,0,,,,,,
MLM2604803508,0,0.0,0,0,0,0,0,,,,,,
MLM2606168982,0,0.0,0,0,0,0,0,,,,,,
MLM2609211872,0,0.0,0,0,0,0,0,,,,,,
MLM2609211904,0,0.0,0,0,0,0,0,,,,,,
MLM2610887152,0,0.0,0,0,0,0,0,,,,,,
MLM2611175558,0,0.0,0,0,0,0,0,,,,,,
MLM2611718888,0,0.0,0,0,0,0,0,,,,,,
MLM2619915258,0,0.0,0,0,0,0,0,,,,,,
MLM2624002752,0,0.0,0,0,0,0,0,,,,,,
MLM2628017122,0,0.0,0,0,0,0,0,,,,,,
MLM2635471030,0,0.0,0,0,0,0,0,,,,,,
MLM2643766684,0,0.0,0,0,0,0,0,,,,,,
MLM2659996462,0,0.0,0,0,0,0,0,,,,,,
MLM2670855682,0,0.0,0,0,0,0,0,,,,,,
MLM2706083304,0,0.0,0,0,0,0,0,,,,,,
MLM2709419636,0,0.0,0,0,0,0,0,,,,,,
MLM2709519260,0,0.0,0,0,0,0,0,,,,,,
MLM2735050832,0,0.0,0,0,0,0,0,,,,,,
MLM2740588302,0,0.0,0,0,0,0,0,,,,,,
MLM2746688696,0,0.0,0,0,0,0,0,,,,,,
MLM2746765328,0,0.0,0,0,0,0,0,,,,,,
MLM2753711428,0,0.0,0,0,0,0,0,,,,,,
MLM2755915836,0,0.0,0,0,0,0,0,,,,,,
MLM2771279048,0,0.0,0,0,0,0,0,,,,,,
MLM2773503012,0,0.0,0,0,0,0,0,,,,,,
MLM2783476194,0,0.0,0,0,0,0,0,,,,,,
MLM2798952024,0,0.0,0,0,0,0,0,,,,,,
MLM2801816230,0,0.0,0,0,0,0,0,,,,,,
MLM1959686303,0,0.0,0,0,0,0,0,,,,,,
MLM2800530094,0,0.0,0,0,0,0,0,,,,,,
MLM2431419314,0,0.0,0,0,0,0,0,,,,,,
MLM1936252739,0,0.0,0,0,0,0,0,,,,,,
MLM2524480166,0,0.0,0,0,0,0,0,,,,,,
MLM1946791285,0,0.0,0,0,0,0,0,,,,,,
MLM1806884828,0,0.0,0,0,0,0,0,,,,,,
MLM1586816185,0,0.0,0,0,0,0,0,,,,,,
MLM1966495124,0,0.0,0,0,0,0,0,,,,,,
MLM2609045202,0,0.0,0,0,0,0,0,,,,,,
MLM1981241183,0,0.0,0,0,0,0,0,,,,,,
MLM1334228398,0,0.0,0,0,0,0,0,,,,,,
MLM2609033152,0,0.0,0,0,0,0,0,,,,,,
MLM2609057832,0,0.0,0,0,0,0,0,,,,,,
MLM2609057898,0,0.0,0,0,0,0,0,,,,,,
MLM2609070922,0,0.0,0,0,0,0,0,,,,,,
MLM2609083706,0,0.0,0,0,0,0,0,,,,,,
MLM2609096638,0,0.0,0,0,0,0,0,,,,,,
MLM2609109502,0,0.0,0,0,0,0,0,,,,,,
MLM2609148046,0,0.0,0,0,0,0,0,,,,,,
MLM2685433476,0,0.0,0,0,0,0,0,,,,,,
MLM2800440576,0,0.0,0,0,0,0,0,,,,,,
MLM1483273158,0,0.0,0,0,0,0,0,,,,,,
MLM1398918954,0,0.0,0,0,0,0,0,,,,,,
MLM2667121622,0,0.0,0,0,0,0,0,,,,,,
MLM802463603,4,5.0,0,0,0,0,4,,,,,,
MLM2771595928,0,0.0,0,0,0,0,0,,,,,,
