ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5
MLM895092059,0,0.0,0,0,0,0,0
MLM1998638981,1,5.0,0,0,0,0,1
MLM689203519,0,0.0,0,0,0,0,0
MLM1741658367,0,0.0,0,0,0,0,0
MLM729888426,0,0.0,0,0,0,0,0
MLM1412450149,1,5.0,0,0,0,0,1
MLM2413662476,0,0.0,0,0,0,0,0
MLM946408353,0,0.0,0,0,0,0,0
MLM1338817391,0,0.0,0,0,0,0,0
MLM2577590372,0,0.0,0,0,0,0,0
MLM1501872230,0,0.0,0,0,0,0,0
MLM2246857766,0,0.0,0,0,0,0,0
MLM946399558,0,0.0,0,0,0,0,0
MLM952526065,1,5.0,0,0,0,0,1
MLM674106240,0,0.0,0,0,0,0,0
MLM1952315907,0,0.0,0,0,0,0,0
MLM2341197478,0,0.0,0,0,0,0,0
MLM1428592312,0,0.0,0,0,0,0,0
MLM2581688178,0,0.0,0,0,0,0,0
MLM927159041,0,0.0,0,0,0,0,0
MLM912653739,0,0.0,0,0,0,0,0
MLM1524189145,0,0.0,0,0,0,0,0
MLM2581638566,0,0.0,0,0,0,0,0
MLM1397731341,0,0.0,0,0,0,0,0
MLM1903215891,0,0.0,0,0,0,0,0
MLM1982611308,0,0.0,0,0,0,0,0
MLM653558643,0,0.0,0,0,0,0,0
MLM1869985701,0,0.0,0,0,0,0,0
MLM1988199235,0,0.0,0,0,0,0,0
MLM2210068204,0,0.0,0,0,0,0,0
MLM2762060946,0,0.0,0,0,0,0,0
MLM1951942709,0,0.0,0,0,0,0,0
MLM1902516613,0,0.0,0,0,0,0,0
MLM615529605,0,0.0,0,0,0,0,0
MLM2375527806,0,0.0,0,0,0,0,0
MLM674104259,0,0.0,0,0,0,0,0
MLM2555351188,0,0.0,0,0,0,0,0
MLM2655557374,0,0.0,0,0,0,0,0
MLM1338817351,0,0.0,0,0,0,0,0
MLM1943880405,0,0.0,0,0,0,0,0
MLM1903115493,0,0.0,0,0,0,0,0
MLM1903216107,0,0.0,0,0,0,0,0
MLM615780189,0,0.0,0,0,0,0,0
MLM851863705,0,0.0,0,0,0,0,0
MLM962395525,0,0.0,0,0,0,0,0
MLM653563317,0,0.0,0,0,0,0,0
MLM2555350184,0,0.0,0,0,0,0,0
MLM2792995654,0,0.0,0,0,0,0,0
MLM649499225,0,0.0,0,0,0,0,0
MLM2249331512,0,0.0,0,0,0,0,0
MLM2660473046,0,0.0,0,0,0,0,0
MLM687313812,1,5.0,0,0,0,0,1
MLM1958386231,0,0.0,0,0,0,0,0
