ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5
MLM1772185714,0,0.0,0,0,0,0,0
MLM1768612306,0,0.0,0,0,0,0,0
MLM2217679864,0,0.0,0,0,0,0,0
MLM1984859469,0,0.0,0,0,0,0,0
MLM2684133248,0,0.0,0,0,0,0,0
MLM1366404083,2,5.0,0,0,0,0,2
MLM2817792510,0,0.0,0,0,0,0,0
MLM1790982540,0,0.0,0,0,0,0,0
MLM1950978531,1,5.0,0,0,0,0,1
MLM1899772643,0,0.0,0,0,0,0,0
MLM2712121304,0,0.0,0,0,0,0,0
MLM1784038039,0,0.0,0,0,0,0,0
MLM1996362725,0,0.0,0,0,0,0,0
MLM2004153701,0,0.0,0,0,0,0,0
MLM2292643910,1,5.0,0,0,0,0,1
MLM1964394227,0,0.0,0,0,0,0,0
MLM2217679866,0,0.0,0,0,0,0,0
MLM2538358402,0,0.0,0,0,0,0,0
MLM1973806773,0,0.0,0,0,0,0,0
MLM2339466126,0,0.0,0,0,0,0,0
MLM1976597769,0,0.0,0,0,0,0,0
MLM2798736062,0,0.0,0,0,0,0,0
MLM2799516348,0,0.0,0,0,0,0,0
MLM1993303525,0,0.0,0,0,0,0,0
MLM2512442346,0,0.0,0,0,0,0,0
MLM1978909513,0,0.0,0,0,0,0,0
MLM841302014,1,5.0,0,0,0,0,1
MLM1994993087,0,0.0,0,0,0,0,0
MLM2804105178,0,0.0,0,0,0,0,0
MLM2803589196,0,0.0,0,0,0,0,0
MLM2567982152,0,0.0,0,0,0,0,0
MLM1963395469,0,0.0,0,0,0,0,0
MLM1754368138,0,0.0,0,0,0,0,0
MLM2799529362,0,0.0,0,0,0,0,0
MLM2735400246,0,0.0,0,0,0,0,0
MLM1970039963,0,0.0,0,0,0,0,0
MLM1995011859,0,0.0,0,0,0,0,0
MLM2596089388,0,0.0,0,0,0,0,0
MLM1968370557,0,0.0,0,0,0,0,0
MLM2384396560,0,0.0,0,0,0,0,0
MLM2499582096,0,0.0,0,0,0,0,0
MLM1959642065,0,0.0,0,0,0,0,0
MLM1949869699,0,0.0,0,0,0,0,0
MLM1953277479,0,0.0,0,0,0,0,0
MLM1805185317,0,0.0,0,0,0,0,0
MLM1805016403,0,0.0,0,0,0,0,0
MLM2789136276,0,0.0,0,0,0,0,0
MLM2700501602,0,0.0,0,0,0,0,0
MLM2735190126,0,0.0,0,0,0,0,0
MLM2629074270,0,0.0,0,0,0,0,0
MLM2709902738,0,0.0,0,0,0,0,0
MLM2776007750,0,0.0,0,0,0,0,0
MLM2706081540,0,0.0,0,0,0,0,0
MLM1921386571,0,0.0,0,0,0,0,0
MLM2792499840,0,0.0,0,0,0,0,0
MLM2801839994,0,0.0,0,0,0,0,0
MLM1964381397,0,0.0,0,0,0,0,0
MLM1658148941,1,5.0,0,0,0,0,1
MLM2798684078,0,0.0,0,0,0,0,0
MLM1965850175,0,0.0,0,0,0,0,0
MLM1805003428,0,0.0,0,0,0,0,0
MLM1807252374,0,0.0,0,0,0,0,0
MLM2803602530,0,0.0,0,0,0,0,0
MLM1601313107,1,4.0,0,0,0,1,0
MLM2804040592,0,0.0,0,0,0,0,0
MLM1994137803,0,0.0,0,0,0,0,0
MLM1983063515,0,0.0,0,0,0,0,0
MLM2001455831,0,0.0,0,0,0,0,0
MLM2750615446,0,0.0,0,0,0,0,0
MLM1722245302,0,0.0,0,0,0,0,0
MLM2771402654,0,0.0,0,0,0,0,0
MLM2803690498,0,0.0,0,0,0,0,0
MLM1987577193,0,0.0,0,0,0,0,0
MLM1964451071,0,0.0,0,0,0,0,0
MLM1988140163,1,5.0,0,0,0,0,1
MLM2000131843,0,0.0,0,0,0,0,0
MLM1808754570,0,0.0,0,0,0,0,0
MLM2622626660,1,5.0,0,0,0,0,1
MLM1998154323,0,0.0,0,0,0,0,0
MLM1977499005,0,0.0,0,0,0,0,0
MLM1875491470,1,5.0,0,0,0,0,1
MLM1977486565,0,0.0,0,0,0,0,0
MLM1841268882,0,0.0,0,0,0,0,0
MLM1757989064,2,5.0,0,0,0,0,2
MLM2621841856,0,0.0,0,0,0,0,0
MLM2376315838,0,0.0,0,0,0,0,0
MLM2692498996,1,5.0,0,0,0,0,1
MLM1995682047,0,0.0,0,0,0,0,0
MLM1976558681,0,0.0,0,0,0,0,0
MLM2631157588,0,0.0,0,0,0,0,0
MLM1994607387,0,0.0,0,0,0,0,0
MLM2717086064,0,0.0,0,0,0,0,0
MLM1844061948,0,0.0,0,0,0,0,0
MLM2803511432,0,0.0,0,0,0,0,0
MLM1731832862,0,0.0,0,0,0,0,0
MLM2801808626,0,0.0,0,0,0,0,0
MLM2751665694,0,0.0,0,0,0,0,0
MLM2293541448,1,5.0,0,0,0,0,1
MLM2657086096,0,0.0,0,0,0,0,0
MLM1348308965,0,0.0,0,0,0,0,0
MLM2618235078,0,0.0,0,0,0,0,0
MLM2735164912,0,0.0,0,0,0,0,0
MLM2621936866,0,0.0,0,0,0,0,0
MLM2717086140,0,0.0,0,0,0,0,0
MLM2799310474,0,0.0,0,0,0,0,0
MLM1796741502,0,0.0,0,0,0,0,0
MLM2803821298,0,0.0,0,0,0,0,0
MLM2803859208,0,0.0,0,0,0,0,0
MLM2335091408,0,0.0,0,0,0,0,0
MLM2618299786,2,5.0,0,0,0,0,2
MLM1829116583,0,0.0,0,0,0,0,0
MLM2732900338,0,0.0,0,0,0,0,0
MLM2735177554,0,0.0,0,0,0,0,0
MLM2801770250,0,0.0,0,0,0,0,0
MLM1860294973,0,0.0,0,0,0,0,0
MLM1904027273,0,0.0,0,0,0,0,0
MLM1921637661,0,0.0,0,0,0,0,0
MLM1998425103,0,0.0,0,0,0,0,0
MLM2648538310,0,0.0,0,0,0,0,0
MLM1759197763,0,0.0,0,0,0,0,0
MLM1859506327,0,0.0,0,0,0,0,0
MLM1878406783,0,0.0,0,0,0,0,0
MLM1978415703,0,0.0,0,0,0,0,0
MLM2567524596,0,0.0,0,0,0,0,0
MLM2733109888,0,0.0,0,0,0,0,0
MLM2782120380,0,0.0,0,0,0,0,0
MLM2801505384,0,0.0,0,0,0,0,0
MLM1854893859,1,5.0,0,0,0,0,1
MLM1944599987,0,0.0,0,0,0,0,0
MLM2358675164,0,0.0,0,0,0,0,0
MLM2396782988,1,5.0,0,0,0,0,1
MLM2529277568,0,0.0,0,0,0,0,0
MLM2729725908,0,0.0,0,0,0,0,0
MLM2805869594,0,0.0,0,0,0,0,0
MLM1956262261,0,0.0,0,0,0,0,0
MLM2254356500,0,0.0,0,0,0,0,0
MLM2273200554,0,0.0,0,0,0,0,0
MLM2710299322,0,0.0,0,0,0,0,0
MLM2735061532,0,0.0,0,0,0,0,0
MLM2801414538,0,0.0,0,0,0,0,0
MLM2804028230,0,0.0,0,0,0,0,0
MLM1805068367,0,0.0,0,0,0,0,0
MLM1987884017,0,0.0,0,0,0,0,0
MLM2117557982,0,0.0,0,0,0,0,0
MLM2654448008,0,0.0,0,0,0,0,0
MLM2661682598,0,0.0,0,0,0,0,0
MLM1804899463,0,0.0,0,0,0,0,0
MLM1909596966,0,0.0,0,0,0,0,0
MLM1923419371,0,0.0,0,0,0,0,0
MLM1942047793,0,0.0,0,0,0,0,0
MLM1980428631,0,0.0,0,0,0,0,0
MLM1988898097,0,0.0,0,0,0,0,0
MLM2254366240,0,0.0,0,0,0,0,0
MLM2396771654,0,0.0,0,0,0,0,0
MLM2621952426,0,0.0,0,0,0,0,0
MLM2631106824,0,0.0,0,0,0,0,0
MLM2700654222,0,0.0,0,0,0,0,0
MLM2801141918,0,0.0,0,0,0,0,0
MLM2803589202,0,0.0,0,0,0,0,0
MLM1720930339,0,0.0,0,0,0,0,0
MLM1758443524,0,0.0,0,0,0,0,0
MLM1783614035,0,0.0,0,0,0,0,0
MLM1787544138,0,0.0,0,0,0,0,0
MLM1804496717,0,0.0,0,0,0,0,0
MLM1935831481,0,0.0,0,0,0,0,0
MLM1945120808,0,0.0,0,0,0,0,0
MLM1951161373,0,0.0,0,0,0,0,0
MLM1969993735,0,0.0,0,0,0,0,0
MLM2075077174,0,0.0,0,0,0,0,0
MLM2243041700,0,0.0,0,0,0,0,0
MLM2547006584,0,0.0,0,0,0,0,0
MLM2661703418,0,0.0,0,0,0,0,0
MLM2686224876,0,0.0,0,0,0,0,0
MLM2703070230,0,0.0,0,0,0,0,0
MLM2798814042,0,0.0,0,0,0,0,0
MLM2799232510,0,0.0,0,0,0,0,0
MLM1804964440,0,0.0,0,0,0,0,0
MLM1805172301,0,0.0,0,0,0,0,0
MLM1904571289,0,0.0,0,0,0,0,0
MLM1965290235,0,0.0,0,0,0,0,0
MLM1976623789,0,0.0,0,0,0,0,0
MLM2218754252,0,0.0,0,0,0,0,0
MLM2333286894,0,0.0,0,0,0,0,0
MLM2538694448,0,0.0,0,0,0,0,0
MLM2660226578,0,0.0,0,0,0,0,0
MLM2714024856,0,0.0,0,0,0,0,0
MLM2803639250,0,0.0,0,0,0,0,0
MLM1758958503,0,0.0,0,0,0,0,0
MLM959960896,4,4.5,0,0,1,0,3
MLM741076565,2,5.0,0,0,0,0,2
MLM1376097969,1,5.0,0,0,0,0,1
MLM1328721726,6,4.5,0,0,1,1,4
MLM1485192187,1,5.0,0,0,0,0,1
MLM1810682078,0,0.0,0,0,0,0,0
MLM1354355517,0,0.0,0,0,0,0,0
MLM1352980157,0,0.0,0,0,0,0,0
MLM930077863,0,0.0,0,0,0,0,0
MLM1357963310,0,0.0,0,0,0,0,0
MLM1813272969,0,0.0,0,0,0,0,0
MLM1600857796,1,5.0,0,0,0,0,1
MLM1923964089,0,0.0,0,0,0,0,0
MLM1386741126,0,0.0,0,0,0,0,0
MLM1342121784,0,0.0,0,0,0,0,0
MLM959010482,0,0.0,0,0,0,0,0
MLM962354787,0,0.0,0,0,0,0,0
MLM1720436891,1,5.0,0,0,0,0,1
MLM1357667377,0,0.0,0,0,0,0,0
MLM1662014401,0,0.0,0,0,0,0,0
MLM2094979588,1,5.0,0,0,0,0,1
MLM954732898,1,4.0,0,0,0,1,0
MLM1321275194,4,5.0,0,0,0,0,4
MLM1461864749,0,0.0,0,0,0,0,0
MLM1883074069,0,0.0,0,0,0,0,0
MLM948787331,0,0.0,0,0,0,0,0
MLM962866351,0,0.0,0,0,0,0,0
MLM782948981,1,5.0,0,0,0,0,1
MLM914024995,0,0.0,0,0,0,0,0
MLM943622314,6,4.0,1,0,1,0,4
MLM1316244090,5,4.0,1,0,0,1,3
MLM1662715613,1,5.0,0,0,0,0,1
MLM1661852027,0,0.0,0,0,0,0,0
MLM919998664,0,0.0,0,0,0,0,0
MLM1358295208,0,0.0,0,0,0,0,0
MLM1361837858,0,0.0,0,0,0,0,0
MLM1385233795,1,5.0,0,0,0,0,1
MLM1387681981,2,4.5,0,0,0,1,1
MLM919547726,1,5.0,0,0,0,0,1
MLM939807023,0,0.0,0,0,0,0,0
MLM954775905,1,5.0,0,0,0,0,1
MLM1314618424,0,0.0,0,0,0,0,0
MLM1342026860,1,5.0,0,0,0,0,1
MLM1353300842,0,0.0,0,0,0,0,0
MLM962188974,0,0.0,0,0,0,0,0
MLM1789677804,0,0.0,0,0,0,0,0
MLM2801479358,0,0.0,0,0,0,0,0
MLM2449565832,0,0.0,0,0,0,0,0
MLM2613345706,0,0.0,0,0,0,0,0
MLM1972732035,0,0.0,0,0,0,0,0
MLM2803601556,0,0.0,0,0,0,0,0
MLM800161691,0,0.0,0,0,0,0,0
MLM1904028401,0,0.0,0,0,0,0,0
MLM1954597071,0,0.0,0,0,0,0,0
MLM1991499731,0,0.0,0,0,0,0,0
MLM1975018339,0,0.0,0,0,0,0,0
MLM963300968,0,0.0,0,0,0,0,0
MLM2538679348,0,0.0,0,0,0,0,0
MLM1958348951,0,0.0,0,0,0,0,0
MLM959101981,1,5.0,0,0,0,0,1
MLM1301102250,0,0.0,0,0,0,0,0
MLM1649432269,1,5.0,0,0,0,0,1
MLM914282831,0,0.0,0,0,0,0,0
MLM2803756786,0,0.0,0,0,0,0,0
MLM1805055392,0,0.0,0,0,0,0,0
MLM1807187382,0,0.0,0,0,0,0,0
MLM796380507,1,4.0,0,0,0,1,0
MLM1462086771,2,5.0,0,0,0,0,2
MLM1969962717,0,0.0,0,0,0,0,0
MLM1992121495,0,0.0,0,0,0,0,0
MLM789395246,0,0.0,0,0,0,0,0
MLM2799167680,0,0.0,0,0,0,0,0
